Date,Opening Cash,Expenses Shop,Denomination Total,Total Cash,Total Sales POS,Paytm,Cash Withdrawn,Employee 1,Employee 2,Employee 3,Employee 4,Cleaning,Other Expenses Name,Other Expenses Amount,Other Expenses Name_1,Other Expenses Amount_1,500,200,100,50,20,10,5,Cash Difference,Closing Cash
16-08-2024,470,0,1840,1640,1170,0,1000,1700,770,0,0,0,Tea or Snacks,0,Others,0,2,1,2,0,11,22,0,-200,840
17-08-2024,840,100,1550,1550,2160,1350,1000,0,100,0,0,0,Tea or Snacks,0,Others,0,0,2,6,3,10,20,0,0,550
18-08-2024,550,150,2250,2250,3030,1180,1700,0,150,0,0,0,Tea or Snacks,0,Others,0,0,2,13,2,13,19,0,0,550
19-08-2024,550,150,690,690,970,680,0,0,150,0,0,0,Tea or Snacks,0,Others,0,0,0,2,1,13,18,0,0,690
20-08-2024,690,100,1950,1950,1410,50,1400,0,100,0,0,0,Tea or Snacks,0,Others,0,1,3,3,3,12,16,0,0,550
21-08-2024,550,150,5630,5630,5320,90,4900,0,150,0,0,0,Tea or Snacks,0,Others,0,9,0,4,7,12,14,0,0,730
22-08-2024,730,150,2070,2070,2230,740,1000,0,150,0,0,0,Tea or Snacks,0,Others,0,2,0,4,9,7,8,0,0,1070
23-08-2024,1070,0,3170,2660,2100,510,2000,0,0,0,0,0,Tea or Snacks,0,Others,0,2,0,15,10,5,7,0,-510,1170
24-08-2024,670,100,1640,1641,1490,419,1000,0,50,0,0,50,Tea or Snacks,0,Others,0,2,0,1,8,4,6,0,1,640
25-08-2024,640,100,2020,2021,3330,1849,0,0,100,0,0,0,Tea or Snacks,0,Others,0,1,1,9,7,2,3,0,1,2020
26-08-2024,2020,150,2310,2310,880,440,2000,0,150,0,0,0,Tea or Snacks,0,Others,0,2,0,10,4,4,3,0,0,310
27-08-2024,310,100,700,700,760,270,0,0,100,0,0,0,Tea or Snacks,0,Others,0,0,1,3,2,4,2,0,0,700
28-08-2024,700,100,2540,2540,2010,70,2000,0,100,0,0,0,Tea or Snacks,0,Others,0,3,1,6,3,3,3,0,0,540
29-08-2024,540,0,980,980,1020,580,0,0,0,0,0,0,Tea or Snacks,0,Others,0,0,1,5,4,3,2,0,0,980
30-08-2024,980,0,1150,1150,1100,930,0,0,0,0,0,0,Tea or Snacks,0,Others,0,0,2,5,4,2,1,0,0,1150
31-08-2024,1150,100,1700,1690,1990,1350,1000,0,100,0,0,0,Tea or Snacks,0,Others,0,1,2,7,2,0,0,0,-10,700
01-09-2024,700,200,1750,1730,2410,1180,0,0,200,0,0,0,Tea or Snacks,0,Others,0,1,1,10,1,0,0,0,-20,1750
